one,two,three,four,five,six,seven,eight,nine,ten,min,losses,draws,wins,WinRatio
1.0,1.0,2.0,12.0,16.0,3.0,2.0,2.0,28.0,33.0,1.0,928.0,45.0,2320.0,0.7045247494685697
6.0,0.0,0.0,0.0,0.0,1.0,2.0,33.0,33.0,25.0,0.0,913.0,60.0,2320.0,0.7045247494685697
0.0,0.0,2.0,14.0,15.0,5.0,5.0,5.0,34.0,20.0,0.0,919.0,54.0,2320.0,0.7045247494685697
1.0,8.0,9.0,16.0,1.0,1.0,1.0,1.0,31.0,31.0,1.0,956.0,20.0,2317.0,0.7036137260856362
0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,30.0,36.0,0.0,956.0,20.0,2317.0,0.7036137260856362
0.0,0.0,0.0,13.0,2.0,22.0,1.0,5.0,34.0,23.0,0.0,904.0,73.0,2316.0,0.7033100516246583
0.0,0.0,10.0,0.0,0.0,26.0,0.0,0.0,28.0,36.0,0.0,960.0,18.0,2315.0,0.7030063771636805
1.0,1.0,13.0,2.0,2.0,24.0,4.0,4.0,34.0,15.0,1.0,949.0,31.0,2313.0,0.7023990282417248
1.0,2.0,8.0,10.0,15.0,22.0,5.0,4.0,9.0,24.0,1.0,937.0,43.0,2313.0,0.7023990282417248
2.0,0.0,2.0,12.0,2.0,22.0,3.0,30.0,6.0,21.0,0.0,937.0,43.0,2313.0,0.7023990282417248
0.0,0.0,11.0,14.0,18.0,22.0,1.0,0.0,1.0,33.0,0.0,956.0,24.0,2313.0,0.7023990282417248
0.0,1.0,1.0,12.0,21.0,2.0,1.0,1.0,29.0,32.0,0.0,957.0,28.0,2308.0,0.7008806559368357
0.0,2.0,11.0,3.0,4.0,23.0,5.0,6.0,37.0,9.0,0.0,951.0,36.0,2306.0,0.70027330701488
4.0,5.0,7.0,11.0,13.0,22.0,22.0,3.0,6.0,7.0,3.0,943.0,46.0,2304.0,0.6996659580929244
1.0,1.0,2.0,18.0,18.0,2.0,3.0,3.0,26.0,26.0,1.0,950.0,41.0,2302.0,0.6990586091709687
0.0,5.0,7.0,12.0,12.0,21.0,1.0,31.0,4.0,7.0,0.0,963.0,29.0,2301.0,0.6987549347099908
0.0,0.0,0.0,16.0,21.0,0.0,0.0,0.0,36.0,27.0,0.0,967.0,26.0,2300.0,0.698451260249013
1.0,1.0,2.0,16.0,19.0,4.0,4.0,4.0,22.0,27.0,1.0,958.0,36.0,2299.0,0.6981475857880353
0.0,1.0,3.0,13.0,14.0,5.0,1.0,2.0,35.0,26.0,0.0,966.0,29.0,2298.0,0.6978439113270574
0.0,5.0,7.0,12.0,12.0,22.0,3.0,3.0,32.0,4.0,0.0,942.0,55.0,2296.0,0.6972365624051017
0.0,7.0,12.0,15.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,974.0,24.0,2295.0,0.6969328879441239
0.0,6.0,7.0,11.0,12.0,21.0,3.0,31.0,4.0,5.0,0.0,974.0,29.0,2290.0,0.6954145156392347
0.0,5.0,6.0,13.0,12.0,22.0,2.0,27.0,7.0,6.0,0.0,966.0,37.0,2290.0,0.6954145156392347
0.0,3.0,0.0,13.0,15.0,0.0,3.0,0.0,33.0,33.0,0.0,950.0,55.0,2288.0,0.694807166717279
0.0,0.0,0.0,15.0,21.0,0.0,0.0,0.0,36.0,28.0,0.0,972.0,35.0,2286.0,0.6941998177953234
0.0,0.0,0.0,15.0,17.0,2.0,3.0,4.0,21.0,38.0,0.0,978.0,33.0,2282.0,0.6929851199514121
2.0,1.0,2.0,11.0,16.0,2.0,2.0,2.0,31.0,31.0,1.0,986.0,26.0,2281.0,0.6926814454904342
1.0,8.0,9.0,15.0,3.0,3.0,5.0,6.0,28.0,22.0,1.0,983.0,31.0,2279.0,0.6920740965684786
0.0,7.0,11.0,16.0,0.0,0.0,0.0,0.0,35.0,31.0,0.0,991.0,23.0,2279.0,0.6920740965684786
2.0,5.0,6.0,12.0,12.0,23.0,4.0,26.0,4.0,6.0,2.0,973.0,43.0,2277.0,0.6914667476465229
1.0,1.0,4.0,12.0,20.0,2.0,2.0,6.0,30.0,22.0,1.0,960.0,57.0,2276.0,0.691163073185545
0.0,5.0,6.0,8.0,13.0,23.0,3.0,32.0,5.0,5.0,0.0,991.0,26.0,2276.0,0.691163073185545
1.0,0.0,0.0,18.0,20.0,0.0,0.0,1.0,34.0,26.0,0.0,1000.0,18.0,2275.0,0.6908593987245673
0.0,1.0,2.0,12.0,3.0,18.0,4.0,24.0,5.0,31.0,0.0,946.0,73.0,2274.0,0.6905557242635895
1.0,6.0,8.0,2.0,3.0,21.0,4.0,5.0,24.0,26.0,1.0,943.0,77.0,2273.0,0.6902520498026116
6.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,31.0,31.0,0.0,959.0,61.0,2273.0,0.6902520498026116
0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,35.0,35.0,0.0,995.0,26.0,2272.0,0.6899483753416338
0.0,7.0,11.0,14.0,0.0,0.0,0.0,0.0,32.0,36.0,0.0,995.0,26.0,2272.0,0.6899483753416338
0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,35.0,35.0,0.0,995.0,26.0,2272.0,0.6899483753416338
3.0,5.0,6.0,12.0,1.0,3.0,2.0,30.0,6.0,32.0,1.0,931.0,91.0,2271.0,0.689644700880656
1.0,4.0,6.0,12.0,18.0,22.0,3.0,3.0,5.0,26.0,1.0,950.0,72.0,2271.0,0.689644700880656
